Rank,Expected Points Added (EPA),Offense,Defense,Week,Date,Quarter,Time,Down,Distance,Description,Box Scores,Yard Line (Distance from Off. EZ)
,7.43,LA,TB,20,2022-01-23,2,14:28,3,20,"(14:28) (No Huddle, Shotgun) 9-M.Stafford pass deep right to 10-C.Kupp for 70 yards, TOUCHDOWN [50-V.Vea]. PENALTY on TB-54-L.David, Unsportsmanlike Conduct, 15 yards, enforced between downs.",Box Score,
,2.0,KC,BUF,20,2022-01-23,2,2:37,3,11,"(2:37) (Shotgun) 15-P.Mahomes sacked at BUF 17 for -6 yards (58-M.Milano). PENALTY on BUF-30-D.Jackson, Defensive Holding, 5 yards, enforced at BUF 11 - No Play.",Box Score,
,1.07,LA,TB,20,2022-01-23,1,4:54,1,10,"(4:54) 9-M.Stafford pass incomplete short right to 3-O.Beckham [93-N.Suh]. PENALTY on TB-93-N.Suh, Taunting, 15 yards, enforced at TB 33.",Box Score,
,0.89,LA,TB,20,2022-01-23,1,6:28,2,1,"(6:28) 9-M.Stafford pass incomplete deep left to 12-V.Jefferson [93-N.Suh]. PENALTY on TB-35-J.Dean, Defensive Pass Interference, 16 yards, enforced at LA 38 - No Play.",Box Score,
,0.0,TEN,CIN,20,2022-01-22,2,6:07,0,0,"(Kick formation) PENALTY on CIN, Defensive Too Many Men on Field, 1 yard, enforced at CIN 15 - No Play.",Box Score,
,-0.56,TEN,CIN,20,2022-01-22,3,0:42,2,11,"(:42) (Shotgun) PENALTY on TEN-60-B.Jones, False Start, 5 yards, enforced at CIN 28 - No Play.",Box Score,
,0.22,GB,SF,20,2022-01-22,3,0:33,1,10,"(:33) 12-A.Rodgers pass incomplete short right to 17-D.Adams. PENALTY on SF-92-C.Omenihu, Defensive Holding, 5 yards, enforced at SF 24 - No Play.",Box Score,24.0
,-0.41,SF,GB,20,2022-01-22,3,10:04,2,14,"(10:04) (Shotgun) 10-J.Garoppolo pass short left to 15-J.Jennings pushed ob at GB 12 for 9 yards (29-R.Douglas). PENALTY on SF, Illegal Formation, 5 yards, enforced at GB 21 - No Play.",Box Score,21.0
,-0.43,CIN,TEN,20,2022-01-22,2,1:47,3,9,"(1:47) (Shotgun) PENALTY on CIN-75-I.Prince, False Start, 5 yards, enforced at TEN 19 - No Play.",Box Score,19.0
,-0.73,GB,SF,20,2022-01-22,4,12:52,2,5,"(12:52) PENALTY on GB-79-D.Kelly, False Start, 5 yards, enforced at SF 5 - No Play.",Box Score,5.0
,-0.84,CIN,TEN,20,2022-01-22,1,12:52,3,9,"(12:52) (Shotgun) PENALTY on CIN, Delay of Game, 5 yards, enforced at TEN 23 - No Play.",Box Score,23.0
,-1.02,SF,GB,20,2022-01-22,2,1:09,1,9,"(1:09) 25-E.Mitchell left guard to GB 4 for 5 yards (91-P.Smith). PENALTY on SF-71-T.Williams, Offensive Holding, 10 yards, enforced at GB 9 - No Play.",Box Score,9.0
